expense_id,user_id,category_id,month,year,amount
123,5,5,Jun,2023,953.95
124,5,4,Oct,2023,46.91
125,11,6,Feb,2023,918.21
126,7,6,Sep,2024,296.58
127,12,1,Jun,2023,448.96
128,5,1,May,2023,868.39
129,17,6,Nov,2023,400.91
130,11,3,Oct,2023,913.03
131,6,3,Jul,2024,451.07
132,18,2,Apr,2023,239.27
133,6,2,Feb,2023,270.19
134,2,3,Sep,2023,978.57
135,20,2,Oct,2023,347.07
136,7,3,Jan,2023,510.02
137,9,4,May,2023,288.03
138,2,5,Mar,2023,844.43
139,16,2,Dec,2024,709.76
140,12,6,Oct,2024,242.54
141,14,5,Feb,2023,157.25
142,19,5,Jun,2024,799.24
143,7,6,Nov,2024,41.04
144,20,2,Nov,2024,244.93
145,7,5,Jun,2024,75.32
146,11,2,Sep,2023,151.04
147,18,3,Mar,2024,285.43
148,16,3,Sep,2024,674.45
149,11,4,Feb,2024,123.05
150,6,1,Aug,2023,343.26
151,7,3,Jan,2023,190.36
152,15,4,May,2024,76.46
153,3,6,May,2024,143.4
154,17,2,Apr,2024,714.84
155,3,4,Aug,2023,265.81
156,3,3,Aug,2023,959.31
157,17,1,Aug,2023,972.56
158,1,1,Mar,2023,111.27
159,17,4,Oct,2024,848.82
160,7,5,Nov,2024,281.36
161,1,5,Sep,2024,410.3
162,10,2,Sep,2023,467.74
163,16,4,Jul,2023,513.13
164,7,5,Feb,2024,727.24
165,17,5,Mar,2024,909.59
166,19,6,Sep,2024,108.51
167,14,1,May,2023,77.44
168,10,5,Oct,2024,629.42
169,1,3,Mar,2024,32.47
170,2,1,Jan,2024,571.23
171,13,1,Oct,2023,338.95
172,16,6,Jul,2024,571.72
173,13,6,Nov,2024,277.68
174,2,3,Jul,2024,226.36
175,11,6,Jun,2024,678.75
176,9,6,Dec,2023,251.44
177,18,6,Jun,2023,694.67
178,11,5,Jan,2024,675.2
179,18,3,Jun,2024,833.37
180,17,4,Oct,2023,294.64
181,1,5,Dec,2023,118.84
182,3,3,Apr,2024,432.5
183,9,6,Nov,2023,800.98
184,20,2,Feb,2023,594.89
185,12,5,Feb,2023,952.17
186,2,4,Jul,2023,500.83
187,20,6,Apr,2024,464.72
188,3,1,Mar,2024,586.13
189,18,3,Nov,2023,522.28
190,2,1,Jul,2023,392.8
191,14,3,Oct,2024,391.06
192,10,2,Jul,2024,928.66
193,2,5,Sep,2024,605.48
194,12,1,Jun,2024,178.22
195,9,6,Sep,2023,523.2
196,18,5,Dec,2024,136.48
197,13,3,Jul,2024,326.43
198,17,3,Dec,2024,930.52
199,16,5,Nov,2023,48.85
200,5,3,Dec,2024,346.38
201,16,3,Jun,2023,433.03
202,13,5,Oct,2023,49.38
203,19,4,Jul,2024,694.38
204,3,6,Jul,2024,894.68
205,14,2,Feb,2023,838.2
206,3,1,Jun,2024,136.05
207,4,6,Jan,2023,881.81
208,5,3,Apr,2023,829.17
209,5,1,May,2023,359.27
210,1,3,May,2024,467.51
211,12,4,Oct,2023,589.03
212,17,2,Sep,2024,965.96
213,6,6,Feb,2024,169.53
214,7,2,Feb,2023,917.41
215,20,6,Feb,2023,239.03
216,14,2,Apr,2024,446.2
217,2,2,Dec,2024,119.07
218,2,1,Jun,2023,358.19
219,12,1,Aug,2024,136.59
220,13,6,Apr,2024,168.52
221,6,1,Feb,2024,612.36
222,17,5,Dec,2024,210.9
223,10,1,Apr,2023,534.4
224,1,4,Oct,2023,235.72
225,10,2,Jan,2024,722.23
226,12,4,Jan,2024,244.56
227,9,5,Aug,2024,689.82
228,18,6,Mar,2024,102.07
229,12,2,Aug,2023,304.63
230,7,2,Aug,2023,253.59
231,4,2,Jun,2024,955.41
232,2,1,Aug,2023,494.01
233,4,5,Jan,2024,40.53
234,13,1,Jun,2024,594.09
235,7,1,May,2023,710.03
236,17,5,Jul,2023,519.34
237,6,1,Aug,2024,408.07
238,15,4,Dec,2024,557.81
239,10,1,Jan,2024,918.98
240,3,1,Nov,2023,429.61
241,14,6,Apr,2023,676.9
242,13,3,Nov,2024,559.76
243,5,2,Jun,2023,273.26
244,6,4,Sep,2024,556.27
245,16,5,Nov,2024,885.1
246,10,1,Oct,2024,515.75
247,1,2,Nov,2023,584.64
248,20,4,Oct,2024,578.99
249,10,5,Jul,2023,503.16
250,9,6,Nov,2023,745.22
251,1,5,Sep,2023,585.35
252,9,2,Jun,2024,776.69
253,2,6,Jan,2024,222.46
254,20,3,Nov,2023,374.13
255,6,5,Nov,2024,566.79
256,2,2,Dec,2024,431.57
257,9,2,Oct,2023,350.57
258,7,2,Sep,2024,255.47
259,1,1,Oct,2023,490.87
260,11,4,Jul,2024,334.95
261,5,3,Feb,2023,481.21
262,17,4,Jun,2024,471.89
263,12,1,Feb,2023,867.01
264,6,5,Sep,2024,948.83
265,8,2,Dec,2023,393.84
266,20,4,Jul,2023,386.38
267,7,2,Apr,2023,326.79
268,5,3,Feb,2024,858.32
269,1,1,Jun,2023,62.47
270,15,5,Mar,2023,266.86
271,18,1,May,2024,115.61
272,4,5,Dec,2023,106.06
273,9,6,Dec,2024,828.11
274,16,2,Oct,2023,853.27
275,18,6,Dec,2023,102.12
276,3,2,Jan,2024,788.56
277,10,2,Nov,2024,335.6
278,2,2,Aug,2023,509.78
279,17,4,Aug,2023,491.49
280,18,3,Jun,2023,647.71
281,4,5,Aug,2023,15.88
282,17,3,May,2024,493.98
283,1,5,May,2024,95.73
284,14,1,Jul,2024,118.84
285,1,2,Jan,2024,585.81
286,2,3,May,2024,797.27
287,9,4,Sep,2024,709.13
288,2,3,Dec,2023,172.97
289,10,3,Apr,2023,981.05
290,14,3,Dec,2023,590.6
291,13,2,Sep,2023,417.6
292,2,5,Mar,2023,543.83
293,14,4,Aug,2023,26.61
294,14,1,Nov,2023,160.01
295,20,1,Apr,2024,259.84
296,17,1,Apr,2023,49.64
297,11,3,Jul,2024,503.66
298,4,2,Dec,2024,248.53
299,4,3,Aug,2023,649.54
300,3,4,May,2024,58.78
301,3,4,Jan,2023,658.7
302,18,5,Jun,2024,295.12
303,1,3,Aug,2024,429.78
304,12,2,Dec,2023,782.6
305,7,4,Mar,2024,749.65
306,20,6,May,2024,622.02
307,2,4,Dec,2023,94.99
308,20,3,Jul,2024,454.03
309,13,4,Jun,2023,744.95
310,20,6,Nov,2023,135.14
311,20,1,May,2023,230.13
312,8,3,Jul,2023,879.35
313,1,5,Jan,2024,179.7
314,12,5,Nov,2024,101.94
315,1,2,Jan,2023,479.06
316,8,4,Nov,2023,397.54
317,10,4,Jan,2023,706.28
318,16,5,Jun,2024,282.58
319,7,5,Jun,2024,772.61
320,14,4,Jun,2023,810.54
321,20,6,Aug,2024,623.57
322,14,6,Dec,2024,116.23
323,11,5,Apr,2024,446.14
324,19,4,Oct,2023,968.91
325,14,1,Feb,2024,140.59
326,14,3,Apr,2024,267.37
327,3,2,Jun,2023,977.69
328,5,5,Mar,2024,465.69
329,8,5,May,2024,385.25
330,1,1,Jan,2023,584.29
331,7,2,Dec,2023,192.35
332,13,1,Mar,2023,391.07
333,5,6,Nov,2023,943.86
334,13,6,May,2023,999.4
335,16,6,Mar,2024,657.71
336,3,3,Nov,2024,67.46
337,11,2,Dec,2023,266.41
338,14,3,Oct,2024,114.24
339,4,3,Apr,2023,605.49
340,12,6,Jan,2023,872.04
341,9,1,Jul,2023,659.47
342,4,3,Oct,2023,913.04
343,19,4,Aug,2024,931.35
344,18,5,May,2024,565.53
345,4,1,Jul,2023,569.66
346,18,5,Oct,2023,68.07
347,9,6,May,2023,530.3
348,18,6,Mar,2023,942.46
349,17,2,May,2023,618.01
350,2,2,Dec,2023,677.81
351,16,5,Mar,2023,997.32
352,3,3,Jun,2023,761.86
353,8,4,Nov,2023,179.08
354,5,5,Dec,2023,905.21
355,14,3,Jun,2023,858.68
356,18,1,Jul,2023,602.89
357,2,2,Jan,2023,51.16
358,14,5,Sep,2024,738.4
359,15,5,Dec,2024,191.98
360,2,4,Sep,2023,889.97
361,9,3,Mar,2023,164.68
362,19,6,Nov,2023,211.5
363,16,6,Dec,2024,765.37
364,14,2,Sep,2023,666.03
365,1,2,Jan,2023,930.21
366,18,1,Sep,2023,527.33
367,19,2,Apr,2024,328.72
368,4,1,Oct,2024,158.46
369,12,4,Apr,2024,991.73
370,15,1,Jan,2023,438.38
371,4,3,Nov,2023,975.09
372,18,3,Mar,2024,225.81
373,7,6,Jun,2024,776.5
374,2,4,Feb,2024,352.48
375,12,2,Apr,2023,209.18
376,8,5,Oct,2024,209.79
377,12,3,May,2024,39.34
378,5,5,Sep,2023,444.48
379,1,2,Apr,2023,338.94
380,3,5,Nov,2024,963.1
381,19,3,Mar,2023,956.87
382,14,4,Apr,2023,535.11
383,15,5,Mar,2023,197.16
384,19,5,Jun,2024,888.45
385,6,6,Jul,2023,501.73
386,11,3,Dec,2023,406.27
387,19,3,Jun,2023,268.46
388,11,4,Jun,2023,929.46
389,8,3,Jul,2024,63.7
390,6,2,Apr,2024,305.19
391,8,3,May,2023,86.51
392,5,3,Oct,2024,693.31
393,4,1,Feb,2024,365.17
394,1,5,Dec,2023,45.27
395,7,4,Jan,2023,231.66
396,1,4,Sep,2024,826.55
397,4,6,Dec,2024,379.52
398,3,6,Mar,2023,722.05
399,5,5,Oct,2023,63.8
400,2,2,Apr,2024,872.98
401,9,3,May,2024,771.63
402,6,4,Oct,2023,324.38
403,3,5,Feb,2023,979.42
404,16,5,Jan,2023,463.14
405,6,6,Nov,2024,513.17
406,16,3,Sep,2023,652.61
407,5,5,May,2024,137.03
408,13,5,Apr,2024,547.29
409,20,3,Mar,2023,699.36
410,17,1,Apr,2024,353.93
411,17,5,Mar,2024,799.08
412,4,1,Mar,2024,73.66
413,5,2,Sep,2023,501.15
414,12,4,May,2023,588.13
415,5,3,Feb,2023,225.9
416,18,6,Oct,2023,879.47
417,19,1,Apr,2023,555.61
418,1,1,Sep,2024,731.83
419,16,5,May,2024,540.31
420,1,4,Feb,2023,679.49
421,8,2,Dec,2024,259.83
422,1,1,Nov,2024,876.73
423,10,3,Sep,2023,438.38
424,9,2,Aug,2024,233.99
425,12,6,Nov,2023,80.09
426,9,2,Aug,2024,451.77
427,2,2,Jun,2023,813.37
428,13,4,May,2023,19.47
429,13,3,May,2024,829.95
430,16,1,May,2023,101.37
431,2,5,Apr,2023,961.56
432,20,1,Mar,2023,120.15
433,3,4,Jul,2024,525.62
434,15,1,Feb,2024,358.47
435,15,2,Aug,2024,981.68
436,9,3,Jan,2024,201.75
437,6,1,Nov,2024,551.1
438,8,6,Apr,2024,764.11
439,2,6,Dec,2024,413.18
440,7,4,Jun,2024,418.88
441,11,3,Aug,2023,400.36
442,10,5,Apr,2023,28.81
443,14,5,Mar,2024,237.84
444,12,6,Jul,2024,451.58
445,15,6,Apr,2023,391.2
446,8,4,Apr,2023,557.6
447,12,4,Jul,2024,976.92
448,20,5,Sep,2023,109.71
449,15,1,Jan,2023,913.98
450,17,1,Feb,2023,519.98
451,4,4,Jan,2024,190.67
452,13,2,May,2023,742.53
453,18,1,Oct,2023,968.13
454,4,3,Oct,2024,732.57
455,8,3,Nov,2023,715.58
456,20,3,Oct,2023,439.32
457,11,6,Apr,2024,628.97
458,3,3,Nov,2024,869.51
459,19,3,Jul,2024,364.16
460,13,6,Mar,2023,763.91
461,19,4,Sep,2024,643.38
462,15,5,Jan,2024,714.76
463,15,1,Nov,2023,406.79
464,20,3,Nov,2023,833.84
465,7,4,Mar,2023,692.46
466,3,3,Mar,2024,138.29
467,19,4,Dec,2023,900.8
468,8,1,Apr,2024,532.5
469,18,4,Nov,2023,607.49
470,16,4,Sep,2023,546.38
471,3,1,Oct,2023,247.38
472,1,5,Jan,2023,816.16
473,14,6,Oct,2023,304.47
474,4,6,May,2023,140.13
475,13,6,Dec,2024,690.79
476,9,6,Apr,2024,64.34
477,18,2,Mar,2024,457.8
478,4,4,Jan,2023,144.37
479,6,3,Jun,2023,585.01
480,4,2,Oct,2024,164.47
481,4,3,Nov,2024,693.72
482,20,1,Aug,2023,939.25
483,8,2,Jul,2024,766.38
484,1,3,Feb,2023,777.16
485,6,6,Jan,2023,724.45
486,2,1,Jul,2023,502.43
487,6,2,Dec,2024,527.03
488,5,3,Sep,2023,618.47
489,11,3,Nov,2023,647.29
490,13,3,Dec,2024,82.06
491,4,2,Jan,2024,512.63
492,3,5,May,2023,481.45
493,4,1,Jun,2024,137.34
494,10,1,Sep,2023,786.38
495,20,2,Jan,2023,392.98
496,6,3,Dec,2024,989.65
497,14,5,Aug,2023,899.52
498,7,6,Oct,2024,950.05
499,7,4,Jul,2023,913.6
500,19,4,Jun,2024,224.97
501,17,2,Aug,2023,436.49
502,13,4,Oct,2023,621.21
503,2,3,Oct,2023,739.68
504,16,5,May,2023,687.61
505,17,4,May,2024,523.52
506,7,4,Mar,2023,78.0
507,7,5,Feb,2024,22.59
508,8,1,Jul,2024,924.37
509,9,4,Mar,2024,504.67
510,9,2,Jul,2024,101.22
511,5,2,May,2023,277.81
512,18,5,Oct,2023,680.01
513,4,2,Sep,2023,43.82
514,19,4,Feb,2024,716.49
515,14,2,Jan,2024,78.12
516,7,6,Jun,2023,539.01
517,1,2,Jun,2024,655.37
518,17,3,Nov,2023,481.12
519,12,3,Mar,2024,857.7
520,4,4,May,2024,955.95
521,3,3,Mar,2024,515.93
522,3,1,Feb,2024,880.17
523,3,4,Mar,2023,349.44
524,19,4,Sep,2023,393.89
525,15,2,Dec,2024,600.75
526,3,3,Aug,2023,30.53
527,19,1,Aug,2024,338.31
528,20,4,Jun,2023,871.21
529,8,5,Mar,2024,88.23
530,10,2,Dec,2024,658.61
531,5,3,Mar,2024,491.41
532,14,1,Apr,2023,292.85
533,2,5,Feb,2023,797.06
534,12,1,Aug,2024,315.87
535,16,4,Mar,2024,485.27
536,7,1,Apr,2023,196.41
537,15,2,Dec,2024,508.11
538,20,2,May,2024,20.37
539,5,6,Aug,2023,955.09
540,20,4,Feb,2024,995.14
541,14,4,Oct,2024,487.72
542,18,3,Apr,2023,330.15
543,16,2,Feb,2023,554.39
544,19,3,Jan,2023,370.5
545,10,1,Jul,2024,527.31
546,12,3,Oct,2023,859.46
547,11,1,May,2023,917.44
548,14,5,Apr,2023,79.28
549,6,1,Oct,2024,831.04
550,4,2,Aug,2023,74.73
551,15,4,Jul,2023,576.21
552,11,5,Dec,2023,200.88
553,19,6,Feb,2023,342.95
554,9,2,Sep,2024,168.99
555,17,4,Nov,2024,163.57
556,2,5,May,2023,324.43
557,2,1,Oct,2024,107.15
558,16,3,Nov,2023,30.8
559,7,5,Mar,2024,597.12
560,20,2,Jan,2023,505.59
561,7,6,Apr,2024,354.46
562,1,1,Oct,2023,793.16
563,18,6,Sep,2024,676.49
564,12,2,Nov,2024,325.11
565,10,2,Mar,2023,150.97
566,4,5,Dec,2024,14.76
567,16,4,May,2024,806.16
568,12,5,Mar,2023,150.28
569,7,2,Feb,2024,661.98
570,7,6,Nov,2023,849.29
571,6,4,Jul,2024,201.16
572,8,3,May,2023,801.0
573,3,5,Jun,2024,446.61
574,3,2,Mar,2024,763.99
575,7,5,Mar,2024,820.98
576,7,4,Apr,2023,559.35
577,12,6,Jul,2024,23.02
578,16,1,May,2023,787.97
579,15,6,Oct,2024,860.01
580,9,6,Jan,2023,177.02
581,11,3,Apr,2024,299.81
582,5,5,Sep,2024,775.47
583,18,3,Jun,2024,46.44
584,13,1,Aug,2024,30.47
585,13,2,Jan,2023,85.69
586,17,5,Sep,2024,140.69
587,1,1,Oct,2024,439.07
588,5,4,Nov,2023,843.6
589,6,4,Nov,2023,195.69
590,8,5,Oct,2023,322.02
591,3,6,Jan,2024,307.61
592,16,1,Nov,2023,727.78
593,16,3,Jun,2024,576.86
594,18,5,Aug,2024,774.04
595,7,2,May,2024,303.5
596,12,1,Sep,2024,988.42
597,15,6,Sep,2024,497.19
598,15,1,Nov,2024,445.04
599,1,6,Sep,2024,418.83
600,3,1,Apr,2023,764.33
601,12,3,Oct,2024,894.66
602,2,4,Nov,2023,532.29
603,4,1,Apr,2023,188.61
604,3,5,Apr,2024,424.41
605,8,4,Jun,2024,565.55
606,19,1,Mar,2023,403.62
607,8,1,Sep,2024,217.75
608,5,6,Nov,2024,631.42
609,7,2,Feb,2023,926.91
610,14,5,Apr,2024,316.03
611,1,4,Feb,2023,826.5
612,11,3,Jul,2023,779.35
613,14,1,Jan,2024,32.09
614,8,1,Nov,2024,181.79
615,7,5,Jan,2024,78.76
616,11,6,Oct,2024,522.89
617,12,1,May,2023,188.77
618,18,5,Dec,2023,672.72
619,20,4,May,2023,715.45
620,3,5,Aug,2024,330.05
621,2,1,Jul,2024,318.48
622,2,6,Oct,2023,220.03
623,18,2,Dec,2023,52.22
624,17,1,Oct,2024,677.38
625,18,4,Apr,2023,270.75
626,13,6,Dec,2023,616.15
627,19,5,Sep,2024,972.76
628,7,3,Jun,2023,234.56
629,9,3,Oct,2024,868.05
630,8,6,Dec,2024,937.97
631,20,3,Jul,2023,795.37
632,15,5,Sep,2024,344.46
633,7,5,Dec,2023,571.7
634,10,4,Mar,2023,901.65
635,11,5,Sep,2024,658.89
636,14,4,Mar,2024,687.07
637,10,2,Aug,2023,447.25
638,13,5,Jan,2024,23.87
639,19,4,Jun,2023,832.85
640,8,4,May,2023,600.38
641,4,5,Jul,2023,389.64
642,9,2,Dec,2023,311.32
643,12,4,Nov,2024,120.08
644,7,3,Mar,2024,198.34
645,9,6,Aug,2023,187.51
646,17,1,Mar,2024,403.03
647,6,3,Dec,2024,128.32
648,18,3,Jun,2024,238.97
649,2,1,Mar,2023,616.56
650,16,6,Jun,2023,319.85
651,12,2,Jan,2024,344.0
652,18,5,Mar,2023,718.16
653,10,6,Sep,2023,941.38
654,1,4,Dec,2023,19.46
655,14,4,May,2024,240.64
656,18,1,May,2024,233.8
657,5,2,Jan,2024,826.14
658,8,5,Jun,2024,838.41
659,5,1,Dec,2024,362.06
660,13,4,Oct,2023,812.54
661,12,6,Apr,2024,457.97
662,2,5,Feb,2024,327.62
663,17,2,Apr,2023,71.98
664,20,3,Jul,2023,519.85
665,9,6,Nov,2024,491.9
666,11,1,Dec,2024,497.34
667,11,5,Mar,2023,450.27
668,16,6,Mar,2023,370.01
669,3,3,Dec,2024,246.48
670,7,3,Oct,2023,244.5
671,16,5,May,2023,56.19
672,16,2,Jul,2024,418.03
673,3,2,Jan,2023,901.69
674,3,3,Mar,2024,680.1
675,1,2,Sep,2023,981.96
676,17,6,May,2023,927.7
677,14,2,Mar,2024,857.96
678,17,3,Sep,2023,603.8
679,5,2,Dec,2023,180.51
680,7,5,Jul,2023,298.02
681,10,6,Jun,2024,716.8
682,14,5,Jun,2023,500.77
683,17,3,Aug,2024,623.58
684,4,5,Jun,2024,251.77
685,15,3,Sep,2024,853.52
686,20,3,Jul,2024,47.83
687,18,6,May,2024,595.61
688,11,1,Mar,2023,201.9
689,9,5,Jul,2023,514.96
690,4,3,Jan,2023,476.47
691,10,6,Sep,2024,702.82
692,19,2,Mar,2024,344.94
693,14,2,Feb,2023,188.73
694,13,5,May,2023,906.34
695,3,1,Aug,2023,848.74
696,10,4,Nov,2023,601.79
697,2,1,Nov,2023,642.87
698,19,3,Jul,2024,565.94
699,18,4,Jul,2024,610.15
700,13,2,Apr,2024,446.43
701,18,4,Sep,2023,626.97
702,12,6,Oct,2023,421.56
703,18,3,Mar,2023,560.36
704,16,1,Dec,2024,725.23
705,8,2,Apr,2023,365.49
706,6,4,May,2023,336.85
707,5,2,Nov,2024,31.39
708,20,2,May,2023,495.98
709,8,3,Jan,2024,418.51
710,5,1,Apr,2024,771.05
711,17,6,Aug,2023,21.26
712,15,4,Feb,2024,347.72
713,12,4,Jan,2023,949.63
714,14,1,Jul,2024,478.78
715,19,3,Sep,2023,235.86
716,5,1,Mar,2024,520.45
717,15,2,Mar,2024,51.64
718,18,6,Oct,2023,267.59
719,1,3,Jul,2023,71.19
720,5,6,Jul,2023,772.54
721,10,4,Mar,2024,521.86
722,8,4,Oct,2024,661.86
723,18,2,Nov,2024,159.08
724,14,4,Aug,2024,499.36
725,13,1,Aug,2024,947.09
726,1,2,Jul,2024,776.98
727,16,2,Jul,2023,163.44
728,16,2,Mar,2024,798.72
729,7,4,Feb,2023,562.58
730,6,1,Aug,2024,378.77
731,7,5,Feb,2023,213.13
732,9,2,Oct,2024,918.22
733,18,4,Dec,2023,785.79
734,7,1,Mar,2024,527.33
735,7,1,Jan,2024,893.29
736,20,6,Jul,2024,397.39
737,16,4,Oct,2023,264.83
738,18,3,Mar,2024,511.57
739,8,3,Apr,2024,431.87
740,19,4,Jul,2023,237.0
741,16,3,Mar,2023,692.09
742,8,3,Nov,2024,929.94
743,20,3,Aug,2023,852.08
744,1,1,Aug,2024,999.67
745,13,6,Dec,2023,374.38
746,14,3,Oct,2023,363.37
747,10,5,Nov,2023,130.55
748,17,4,Nov,2023,696.99
749,8,3,Nov,2023,996.0
750,10,1,Feb,2023,874.01
751,5,4,Jul,2024,370.46
752,8,5,Aug,2024,410.46
753,13,3,Nov,2023,183.73
754,4,3,Jan,2024,669.98
755,14,2,Feb,2023,454.19
756,19,4,Feb,2023,970.56
757,9,6,Mar,2024,122.56
758,13,4,Oct,2023,134.76
759,16,5,Sep,2023,74.59
760,10,5,Jul,2024,375.18
761,10,1,Jan,2023,87.91
762,2,5,Jul,2024,84.61
763,18,4,Feb,2023,844.52
764,14,1,Sep,2024,463.25
765,15,5,May,2024,227.97
766,19,4,Feb,2024,942.06
767,19,2,Dec,2023,796.13
768,4,5,Feb,2023,853.11
769,16,2,Jul,2024,130.58
770,7,4,Jan,2024,295.72
771,3,2,Dec,2023,310.87
772,7,4,Jan,2024,434.83
773,20,6,Nov,2024,82.77
774,9,6,Oct,2024,430.47
775,3,1,Oct,2024,594.12
776,2,3,Jun,2023,380.85
777,3,5,Dec,2023,785.68
778,10,6,Jan,2023,687.61
779,15,4,Apr,2023,136.68
780,10,3,Mar,2023,174.24
781,16,3,May,2024,745.2
782,19,4,Nov,2024,923.23
783,20,5,May,2023,705.7
784,18,4,Jun,2024,435.46
785,6,2,Aug,2023,513.59
786,16,5,Aug,2024,493.1
787,17,1,Mar,2023,957.92
788,1,6,Jan,2023,648.48
789,19,4,Aug,2024,848.29
790,12,3,Oct,2023,137.17
791,4,3,Feb,2023,185.91
792,20,1,May,2024,341.52
793,4,4,Dec,2023,888.75
794,20,5,Oct,2024,532.04
795,6,4,Nov,2023,332.94
796,5,6,Sep,2024,281.68
797,8,3,Jun,2024,68.48
798,2,2,Feb,2024,175.34
799,5,6,Sep,2023,197.26
800,2,2,Mar,2024,667.5
801,20,2,Aug,2024,377.82
802,1,4,May,2023,528.11
803,15,1,Nov,2024,961.32
804,15,1,Jun,2023,164.64
805,16,5,May,2024,992.08
806,17,5,May,2023,237.84
807,8,6,Dec,2023,829.58
808,6,2,Apr,2024,35.08
809,5,3,Jan,2024,115.71
810,1,5,Jun,2023,395.31
811,8,5,Jul,2023,365.67
812,11,5,Aug,2023,975.47
813,6,5,May,2024,954.47
814,18,2,Aug,2024,265.12
815,15,5,Sep,2024,899.42
816,18,3,Apr,2024,497.53
817,8,6,Jul,2023,173.13
818,13,1,Apr,2024,456.41
819,7,6,Sep,2023,205.27
820,18,4,Jan,2024,679.21
821,11,2,Jul,2024,288.09
822,20,1,Feb,2023,292.5
823,17,4,Nov,2023,86.23
824,16,5,Apr,2024,550.5
825,3,6,Nov,2023,785.12
826,1,1,Jun,2024,139.98
827,20,1,Nov,2024,383.1
828,1,6,Nov,2023,569.79
829,14,5,Oct,2024,739.61
